USER,COURSE_ID,SCORE
85625,RP0105EN,54.0
85625,GPXX06RFEN,30.0
85625,CC0271EN,30.0
85625,DE0205EN,42.0
85625,TMP0105EN,54.0
85625,DB0113EN,30.0
85625,RP0103,30.0
85625,RP0103EN,30.0
85625,BD0212EN,54.0
85625,SC0103EN,54.0
85625,GPXX0BUBEN,30.0
85625,TA0106EN,33.0
85625,GPXX01RYEN,30.0
85625,GPXX0XFQEN,30.0
85625,GPXX07REN,30.0
85625,GPXX0725EN,30.0
85625,GPXX0MIIEN,30.0
85625,GPXX06ZLEN,30.0
85625,GPXX0LLEEN,30.0
85625,BD0211EN,54.0
85625,GPXX0NHZEN,30.0
85625,DJ0101EN,30.0
85625,DB0111EN,30.0
85625,DB0115EN,30.0
85625,DB0151EN,54.0
85625,BD0101EN,54.0
85625,GPXX0M6UEN,54.0
85625,GPXX097UEN,54.0
85625,DS0301EN,30.0
85625,BD0221EN,30.0
85625,GPXX0TY1EN,30.0
85625,GPXX0T3CEN,30.0
85625,DB0101EN,30.0
85625,GPXX0G31EN,42.0
85625,GPXX0RQLEN,30.0
85625,excourse01,30.0
85625,excourse02,30.0
85625,excourse03,54.0
85625,excourse04,33.0
85625,excourse05,54.0
85625,excourse06,33.0
85625,excourse07,30.0
85625,excourse10,54.0
85625,excourse11,30.0
85625,excourse12,30.0
85625,excourse13,30.0
85625,excourse14,30.0
85625,excourse31,54.0
85625,excourse42,54.0
85625,excourse69,30.0
85625,excourse70,54.0
85625,excourse71,54.0
85625,excourse72,54.0
85625,excourse73,54.0
85625,excourse75,36.0
149690,RP0105EN,30.0
149690,TMP0105EN,30.0
149690,BD0212EN,30.0
149690,SC0103EN,30.0
149690,excourse72,30.0
149690,excourse73,30.0
152320,RP0105EN,36.0
152320,TMP0105EN,36.0
152320,SC0103EN,36.0
152320,GPXX0TY1EN,33.0
152320,excourse72,36.0
152320,excourse73,36.0
160015,RP0105EN,39.0
160015,BD0145EN,36.0
160015,TMP0105EN,39.0
160015,BD0212EN,39.0
160015,SC0103EN,39.0
160015,BD0143EN,36.0
160015,BD0121EN,36.0
160015,DB0151EN,36.0
160015,GPXX0M6UEN,36.0
160015,GPXX097UEN,36.0
160015,excourse03,36.0
160015,excourse05,36.0
160015,excourse10,36.0
160015,excourse31,36.0
160015,excourse42,36.0
160015,excourse70,36.0
160015,excourse71,36.0
160015,excourse72,39.0
160015,excourse73,39.0
181124,RP0105EN,30.0
181124,TMP0105EN,30.0
181124,BD0212EN,30.0
181124,SC0103EN,30.0
181124,excourse72,30.0
181124,excourse73,30.0
187819,ML0201EN,30.0
187819,GPXX0ZG0EN,30.0
187819,BD0145EN,63.0
187819,DE0205EN,48.0
187819,OS0101EN,30.0
187819,TMP0105EN,78.0
187819,RP0103,33.0
187819,RP0103EN,33.0
187819,GPXX0IBEN,42.0
187819,SW0201EN,30.0
187819,GPXX0BUBEN,45.0
187819,SW0101EN,30.0
187819,BD0143EN,63.0
187819,BD0121EN,63.0
187819,BD0135EN,48.0
187819,BD0133EN,57.0
187819,GPXX0D14EN,30.0
187819,BD0137EN,48.0
187819,DJ0101EN,42.0
187819,DB0151EN,63.0
187819,GPXX0PG8EN,33.0
187819,GPXX0UMSEN,30.0
187819,GPXX0M6UEN,63.0
187819,GPXX097UEN,63.0
187819,GPXX0RL8EN,30.0
187819,GPXX0TY1EN,42.0
187819,BD0123EN,48.0
187819,GPXX0G81EN,30.0
187819,GPXX0G31EN,48.0
187819,GPXX0KY1EN,33.0
187819,CC0150EN,30.0
187819,GPXX0ADEN,30.0
187819,excourse02,42.0
187819,excourse03,63.0
187819,excourse04,45.0
187819,excourse05,63.0
187819,excourse06,45.0
187819,excourse10,63.0
187819,excourse31,63.0
187819,excourse42,63.0
187819,excourse65,33.0
187819,excourse67,36.0
187819,excourse68,36.0
187819,excourse69,45.0
187819,excourse70,63.0
187819,excourse71,63.0
187819,excourse72,78.0
187819,excourse73,78.0
187819,excourse74,36.0
187819,excourse75,57.0
187819,excourse76,36.0
187819,excourse88,30.0
187819,excourse89,30.0
187819,excourse90,30.0
187819,excourse92,30.0
187819,excourse93,30.0
246282,RP0105EN,36.0
246282,BD0145EN,30.0
246282,TMP0105EN,36.0
246282,BD0212EN,36.0
246282,SC0103EN,36.0
246282,BD0121EN,30.0
246282,BD0131EN,30.0
246282,BD0115EN,30.0
246282,BD0101EN,30.0
246282,GPXX0M6UEN,30.0
246282,GPXX097UEN,30.0
246282,excourse03,30.0
246282,excourse05,30.0
246282,excourse10,30.0
246282,excourse31,30.0
246282,excourse42,30.0
246282,excourse70,30.0
246282,excourse71,30.0
246282,excourse72,36.0
246282,excourse73,36.0
271899,RP0105EN,30.0
271899,BD0145EN,30.0
271899,TMP0105EN,30.0
271899,BD0212EN,30.0
271899,SC0103EN,30.0
271899,BD0143EN,30.0
271899,BD0131EN,30.0
271899,BD0211EN,30.0
271899,DB0151EN,30.0
271899,GPXX0M6UEN,30.0
271899,GPXX097UEN,30.0
271899,excourse03,30.0
271899,excourse05,30.0
271899,excourse10,30.0
271899,excourse31,30.0
271899,excourse42,30.0
271899,excourse70,30.0
271899,excourse71,30.0
271899,excourse72,30.0
271899,excourse73,30.0
277197,BD0145EN,39.0
277197,TMP0105EN,45.0
277197,BD0212EN,45.0
277197,SC0103EN,45.0
277197,BD0143EN,39.0
277197,BD0121EN,39.0
277197,DB0151EN,39.0
277197,BD0101EN,39.0
277197,GPXX0M6UEN,39.0
277197,GPXX097UEN,39.0
277197,excourse03,39.0
277197,excourse05,39.0
277197,excourse10,39.0
277197,excourse31,39.0
277197,excourse42,39.0
277197,excourse70,39.0
277197,excourse71,39.0
277197,excourse72,45.0
277197,excourse73,45.0
296101,RP0105EN,39.0
296101,BD0145EN,36.0
296101,TMP0105EN,39.0
296101,BD0212EN,39.0
296101,SC0103EN,39.0
296101,BD0143EN,36.0
296101,BD0141EN,36.0
296101,DB0151EN,36.0
296101,GPXX0M6UEN,36.0
296101,GPXX097UEN,36.0
296101,excourse03,36.0
296101,excourse05,36.0
296101,excourse10,36.0
296101,excourse31,39.0
296101,excourse42,36.0
296101,excourse70,36.0
296101,excourse71,36.0
296101,excourse72,39.0
296101,excourse73,39.0
314348,ML0122EN,30.0
314348,ML0101EN,30.0
314348,excourse21,30.0
314348,excourse22,30.0
315714,ML0122EN,37.0
315714,PA0103EN,34.0
315714,PA0107EN,34.0
315714,GPXX0IBEN,37.0
315714,BD0151EN,34.0
315714,TA0106EN,43.0
315714,GPXX01DCEN,34.0
315714,GPXX0ZMZEN,34.0
315714,GPXX0KHHEN,34.0
315714,GPXX04P5EN,34.0
315714,ML0101EN,37.0
315714,excourse21,37.0
315714,excourse22,37.0
331432,RP0105EN,30.0
351320,BD0145EN,30.0
351320,TMP0105EN,45.0
351320,SC0103EN,45.0
351320,BD0143EN,30.0
351320,BD0141EN,30.0
351320,BD0121EN,30.0
351320,BD0131EN,30.0
351320,BD0115EN,30.0
351320,DB0151EN,30.0
351320,GPXX0M6UEN,30.0
351320,GPXX097UEN,30.0
351320,BD0111EN,30.0
351320,GPXX0TY1EN,30.0
351320,excourse03,30.0
351320,excourse05,30.0
351320,excourse10,30.0
351320,excourse31,33.0
351320,excourse42,30.0
351320,excourse70,30.0
351320,excourse71,30.0
351320,excourse72,45.0
351320,excourse73,45.0
352684,ML0122EN,42.0
352684,DX0106EN,33.0
352684,DX0108EN,30.0
352684,BD0145EN,48.0
352684,DE0205EN,36.0
352684,PA0103EN,33.0
352684,TMP0105EN,59.0
352684,PA0107EN,33.0
352684,RP0103EN,39.0
352684,BD0212EN,59.0
352684,GPXX0IBEN,44.0
352684,SC0103EN,59.0
352684,GPXX0BUBEN,33.0
352684,BD0143EN,48.0
352684,ML0122ENv1,33.0
352684,BD0151EN,33.0
352684,TA0106EN,54.0
352684,TMP107,30.0
352684,GPXX01DCEN,33.0
352684,GPXX0ZMZEN,33.0
352684,BD0223EN,32.0
352684,BD0121EN,48.0
352684,BD0115EN,48.0
352684,GPXX0D14EN,30.0
352684,BD0137EN,36.0
352684,DJ0101EN,38.0
352684,DB0151EN,48.0
352684,GPXX0KHHEN,33.0
352684,GPXX04P5EN,33.0
352684,GPXX0PG8EN,32.0
352684,GPXX0M6UEN,48.0
352684,GPXX097UEN,48.0
352684,BD0221EN,33.0
352684,GPXX0TY1EN,38.0
352684,BD0123EN,36.0
352684,GPXX0G31EN,36.0
352684,GPXX0KY1EN,32.0
352684,excourse02,38.0
352684,excourse03,48.0
352684,excourse04,48.0
352684,excourse05,48.0
352684,excourse06,48.0
352684,excourse10,48.0
352684,excourse12,36.0
352684,excourse21,42.0
352684,excourse22,42.0
352684,excourse31,48.0
352684,excourse42,48.0
352684,excourse62,30.0
352684,excourse65,32.0
352684,excourse69,33.0
352684,excourse70,48.0
352684,excourse71,48.0
352684,excourse72,59.0
352684,excourse73,59.0
352684,excourse75,30.0
354686,BD0145EN,36.0
354686,TMP0105EN,39.0
354686,BD0212EN,39.0
354686,SC0103EN,39.0
354686,BD0143EN,36.0
354686,BD0211EN,39.0
354686,DB0151EN,36.0
354686,BD0101EN,36.0
354686,GPXX0M6UEN,36.0
354686,GPXX097UEN,36.0
354686,excourse03,36.0
354686,excourse05,36.0
354686,excourse10,36.0
354686,excourse31,39.0
354686,excourse42,36.0
354686,excourse70,36.0
354686,excourse71,36.0
354686,excourse72,39.0
354686,excourse73,39.0
362955,RP0105EN,33.0
362955,TMP0105EN,33.0
362955,BD0212EN,33.0
362955,SC0103EN,33.0
362955,GPXX0TY1EN,33.0
362955,excourse31,39.0
362955,excourse72,33.0
362955,excourse73,33.0
399457,SW0201EN,30.0
399457,SW0101EN,30.0
399457,excourse43,30.0
399457,excourse44,30.0
403519,RP0105EN,30.0
403519,BD0145EN,30.0
403519,TMP0105EN,30.0
403519,BD0212EN,30.0
403519,SC0103EN,30.0
403519,BD0143EN,30.0
403519,BD0141EN,30.0
403519,BD0121EN,30.0
403519,BD0211EN,30.0
403519,GPXX0M6UEN,30.0
403519,GPXX097UEN,30.0
403519,excourse03,30.0
403519,excourse05,30.0
403519,excourse10,30.0
403519,excourse31,30.0
403519,excourse42,30.0
403519,excourse70,30.0
403519,excourse71,30.0
403519,excourse72,30.0
403519,excourse73,30.0
403839,RP0105EN,51.0
403839,BD0145EN,45.0
403839,TMP0105EN,51.0
403839,SC0103EN,51.0
403839,BD0143EN,45.0
403839,BD0141EN,45.0
403839,BD0223EN,30.0
403839,DB0151EN,45.0
403839,GPXX0M6UEN,45.0
403839,GPXX097UEN,45.0
403839,excourse03,45.0
403839,excourse05,45.0
403839,excourse10,45.0
403839,excourse31,45.0
403839,excourse42,45.0
403839,excourse70,45.0
403839,excourse71,45.0
403839,excourse72,51.0
403839,excourse73,51.0
425952,RP0105EN,33.0
425952,TMP0105EN,33.0
425952,excourse72,33.0
425952,excourse73,33.0
426277,RP0105EN,34.0
426277,BD0145EN,31.0
426277,TMP0105EN,34.0
426277,BD0212EN,34.0
426277,SC0103EN,34.0
426277,BD0143EN,31.0
426277,BD0141EN,31.0
426277,BD0121EN,31.0
426277,BD0115EN,31.0
426277,DB0151EN,31.0
426277,GPXX0M6UEN,31.0
426277,GPXX097UEN,31.0
426277,excourse03,31.0
426277,excourse05,31.0
426277,excourse10,31.0
426277,excourse31,31.0
426277,excourse42,31.0
426277,excourse70,31.0
426277,excourse71,31.0
426277,excourse72,34.0
426277,excourse73,34.0
428830,RP0105EN,30.0
428830,BD0145EN,30.0
428830,TMP0105EN,30.0
428830,BD0212EN,30.0
428830,SC0103EN,30.0
428830,BD0143EN,30.0
428830,BD0121EN,30.0
428830,BD0211EN,30.0
428830,DB0151EN,30.0
428830,GPXX0M6UEN,30.0
428830,GPXX097UEN,30.0
428830,excourse03,30.0
428830,excourse05,30.0
428830,excourse10,30.0
428830,excourse31,30.0
428830,excourse42,30.0
428830,excourse70,30.0
428830,excourse71,30.0
428830,excourse72,30.0
428830,excourse73,30.0
440679,RP0105EN,51.0
440679,BD0145EN,39.0
440679,DE0205EN,33.0
440679,TMP0105EN,42.0
440679,RP0103EN,33.0
440679,BD0212EN,42.0
440679,SC0103EN,42.0
440679,BD0143EN,39.0
440679,TA0106EN,36.0
440679,BD0121EN,39.0
440679,BD0135EN,33.0
440679,BD0211EN,42.0
440679,BD0137EN,33.0
440679,DB0151EN,39.0
440679,GPXX0M6UEN,39.0
440679,GPXX097UEN,39.0
440679,GPXX0TY1EN,30.0
440679,GPXX0G31EN,33.0
440679,excourse03,39.0
440679,excourse04,36.0
440679,excourse05,39.0
440679,excourse06,36.0
440679,excourse10,39.0
440679,excourse31,42.0
440679,excourse42,39.0
440679,excourse70,39.0
440679,excourse71,39.0
440679,excourse72,42.0
440679,excourse73,42.0
446388,RP0105EN,30.0
446388,TMP0105EN,30.0
446388,BD0212EN,30.0
446388,SC0103EN,30.0
446388,BD0211EN,30.0
446388,excourse72,30.0
446388,excourse73,30.0
447524,ML0122EN,46.0
447524,PA0103EN,31.0
447524,PA0107EN,31.0
447524,GPXX0IBEN,37.0
447524,BD0151EN,31.0
447524,TA0106EN,31.0
447524,GPXX01DCEN,31.0
447524,GPXX0ZMZEN,31.0
447524,GPXX0YMEEN,32.0
447524,PA0101EN,31.0
447524,GPXX0D14EN,35.0
447524,GPXX0KHHEN,31.0
447524,GPXX04P5EN,31.0
447524,excourse21,46.0
447524,excourse22,46.0
447524,excourse49,32.0
459415,ML0122EN,53.0
459415,DX0108EN,33.0
459415,PA0103EN,44.0
459415,PA0107EN,44.0
